action,priority,business_id,kept_id,candidate_id,name,flags,reason,suggested_resolution
"review_listing_quality","normal","desert-ridge-marketplace-phoenix-85050-4d37756","","","Desert Ridge Marketplace","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","dircks-moving-and-logistics-phoenix-85043-2c4cabf","","","Dircks Moving & Logistics","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","duffy-group-inc-phoenix-85050-2ee1ed3","","","Duffy Group, Inc.","source URL domain differs from website | auto-merged duplicate: domain:duffygroup.com","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","dwl-architects-and-planners-inc-phoenix-85004-02228af","","","DWL Architects & Planners, Inc.","source URL domain differs from website | auto-merged duplicate: domain:dwlarchitects.com","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","high","elontec-llc-phoenix-85043-d1d9715","","","Elontec, LLC","no website or booking URL | source URL domain differs from website | auto-merged duplicate: phone:6027595500","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","fairytale-brownies-inc-phoenix-85040-d1096b3","","","Fairytale Brownies, Inc.","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","gallagher-and-kennedy-p-a-phoenix-85016-887b1be","","","Gallagher & Kennedy, P.A.","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","hallier-stearns-brierley-plc-phoenix-85018-6394357","","","Hallier Stearns Brierley PLC","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","hdr-engineering-inc-phoenix-85012-7e0544d","","","HDR Engineering, Inc.","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","hospice-of-the-valley-phoenix-85014-e3bf8fd","","","Hospice of the Valley","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","huitt-zollars-inc-phoenix-85018-3d69524","","","Huitt-Zollars, Inc.","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","ideas-collide-scottsdale-85251-bfb98cf","","","Ideas Collide","source URL domain differs from website | auto-merged duplicate: domain:ideascollide.com","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","integrity-a-c-and-heating-llc-phoenix-85024-a69003d","","","Integrity A/C & Heating, LLC","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","invader-pest-management-inc-glendale-85311-b53c5ba","","","Invader Pest Management, Inc.","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","jani-king-of-phoenix-phoenix-85020-852149a","","","Jani-King of Phoenix","source URL domain differs from website | auto-merged duplicate: domain:janiking.com","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","keo-marketing-inc-phoenix-85004-bee14f3","","","KEO Marketing Inc","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","mcfarland-s-carpet-service-phoenix-85008-b3c608a","","","McFarland's Carpet Service","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","high","mpr-med-exercise-phoenix-salon-personal-care-d469bb3","","","MPR Med Exercise","no physical address or coordinates | source URL domain differs from website | auto-merged duplicate: domain:mprmedexercise.com","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","north-central-news-inc-phoenix-85016-c99746d","","","North Central News, Inc.","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","o-neil-printing-inc-phoenix-85040-7141017","","","O'Neil Printing, Inc.","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","omega-test-and-balance-llc-phoenix-85029-a8409db","","","Omega Test & Balance, LLC","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","palamerican-security-phoenix-85023-2d99f7d","","","PalAmerican Security","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","pearson-s-enterprises-inc-phoenix-85009-8f4c7a1","","","Pearson's Enterprises, Inc.","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","penrose-academy-scottsdale-85254-b32c90d","","","Penrose Academy","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","phoenix-fence-co-phoenix-85040-22e13e2","","","Phoenix Fence Co.","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","pixa-phoenix-85040-c787c03","","","Pixa","source URL domain differs from website","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","a-and-m-mechanical-llc-phoenix-85085-6754dbb","","","A & M Mechanical, LLC","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","a-ready-minded-youth-foundation-phoenix-85051-0b304fa","","","A Ready Minded Youth Foundation","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","a-z-air-duct-tempe-85282-5668e9d","","","A-Z Air Duct","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","accounting-launchpad-phoenix-85016-261fe8f","","","Accounting Launchpad","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","ad-genius-phoenix-85022-6056b51","","","Ad Genius","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","adelante-healthcare-phoenix-85012-ec0d196","","","Adelante Healthcare","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","adelante-healthcare-mesa-mesa-85202-28264fb","","","Adelante Healthcare Central Phoenix","no website or booking URL | auto-merged duplicate: phone:8778095092","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","admiremd-skin-wellness-clinic-phoenix-85018-7d4d23c","","","AdmireMD Skin + Wellness Clinic","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","advanced-spine-and-pain-phoenix-85037-5ad64f5","","","Advanced Spine & Pain","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","agave-home-loans-phoenix-85044-c305701","","","Agave Home Loans","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","ait-promotions-glendale-85304-85ee3b9","","","AIT Promotions","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","aker-ink-pr-and-marketing-scottsdale-85016-5221eb1","","","Aker Ink PR & Marketing","no website or booking URL | auto-merged duplicate: phone:4802692291","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","alaskausa-federal-credit-union-phoenix-branch-phoenix-85029-cfdd65b","","","AlaskaUSA Federal Credit Union - Phoenix Branch","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","alaskausa-federal-credit-union-tempe-branch-tempe-85282-5bc84aa","","","AlaskaUSA Federal Credit Union - Tempe Branch","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","all-city-towing-tempe-85281-c1a23d8","","","All City Towing","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","all-embracing-home-care-phoenix-85051-aa024c2","","","All Embracing Home Care","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","allthrive-365-formerly-fsl-phoenix-85014-446ee90","","","AllThrive 365 (Formerly FSL)","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","alma-school-pawn-and-gold-mesa-85210-2364e7a","","","Alma School Pawn and Gold","no website or booking URL | auto-merged duplicate: phone:4806447932","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","american-asphalt-paving-and-sealcoating-inc-phoenix-85007-73983ca","","","American Asphalt Paving & Sealcoating, Inc.","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","amsafe-inc-phoenix-85043-0945fb1","","","Amsafe Inc.","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","anago-cleaning-systems-of-phoenix-phoenix-85040-831eb3f","","","Anago Cleaning Systems of Phoenix","no website or booking URL | auto-merged duplicate: phone:6029267991","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","anchored-solutions-residential-construction-phoenix-85018-55784de","","","Anchored Solutions Residential Construction","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","archwell-health-north-mountain-phoenix-85021-3c28dea","","","ArchWell Health- North Mountain","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","arizona-association-of-health-plans-phoenix-85016-982aab3","","","Arizona Association of Health Plans","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","arizona-balloon-company-glendale-85306-d6013bf","","","Arizona Balloon Company","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","arizona-biltmore-dentistry-phoenix-85016-d406e26","","","Arizona Biltmore Dentistry","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","arizona-bioindustry-association-azbio-chandler-85226-d7f7526","","","Arizona Bioindustry Association (AZBio)","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","arizona-chamber-of-commerce-and-industry-phoenix-85014-a9df964","","","Arizona Chamber of Commerce & Industry","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","arizona-complete-health-tempe-85281-ade1efa","","","Arizona Complete Health","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","arizona-escrow-and-financial-corporation-phoenix-85016-dbcdef8","","","Arizona Escrow & Financial Corporation","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","arizona-financial-credit-union-phoenix-85008-21e0e9c","","","Arizona Financial Credit Union","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","arizona-hispanic-chamber-of-commerce-phoenix-85014-d845ef1","","","Arizona Hispanic Chamber of Commerce","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","arizona-lobbying-llc-phoenix-85003-df60ce8","","","Arizona Lobbying, LLC","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","arizona-municipal-water-users-association-phoenix-85012-d2b2385","","","Arizona Municipal Water Users Association","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","arizona-private-school-association-scottsdale-85260-6216236","","","Arizona Private School Association","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","arizona-self-insurers-association-scottsdale-85251-5c4395d","","","Arizona Self-Insurers Association","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","arizona-small-business-association-phoenix-85028-f947b29","","","Arizona Small Business Association","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","arizona-tooling-and-machining-association-scottsdale-85271-7da3a46","","","Arizona Tooling & Machining Association","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","arnold-insurance-phoenix-85028-ce5aba2","","","Arnold Insurance","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","ashley-karn-the-karn-group-at-barrett-real-estate-scottsdale-85260-488dc57","","","Ashley Karn, The Karn Group at Barrett Real Estate","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","athletic-republic-north-phoenix-phoenix-85050-33fb776","","","Athletic Republic North Phoenix","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","atlas-capital-llc-paradise-valley-85253-5876a84","","","Atlas Capital, LLC","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","atlas-cpas-and-advisors-pllc-scottsdale-85254-4b7ba2c","","","ATLAS CPAs & Advisors PLLC","no website or booking URL | auto-merged duplicate: phone:4804831600","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","atlas-residential-llc-paradise-valley-85253-f932414","","","Atlas Residential, LLC","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","ave-phoenix-terra-phoenix-85003-c617df6","","","AVE Phoenix Terra","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","az-policy-connect-scottsdale-85258-c34fd08","","","AZ Policy Connect","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","az-pressure-wash-and-windows-scottsdale-85254-0ae8431","","","Az Pressure Wash and Windows","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","b-and-b-pawn-and-gold-mesa-85023-5244f4c","","","B and B Pawn and Gold","no website or booking URL | auto-merged duplicate: phone:4806101240","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","b3-strategies-llc-phoenix-85006-d05362a","","","B3 Strategies, LLC","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","backyard-desert-ridge-phoenix-85050-cbf70eb","","","Backyard Desert Ridge","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","bajrangi-llc-dba-the-ups-store-5340-phoenix-85021-19fc82c","","","Bajrangi LLC DBA The UPS Store #5340","no website or booking URL | auto-merged duplicate: phone:6028643646","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","banner-university-medical-center-phoenix-85006-4f6050b","","","Banner University Medical Center","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","barr-associates-llc-damien-barr-allstate-agency-scottsdale-85258-927e7ca","","","Barr Associates LLC (Damien Barr Allstate Agency)","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","bay-logistics-inc-phoenix-85004-2460fd9","","","Bay Logistics Inc.","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","benchmark-tempe-85281-3a6afc2","","","Benchmark","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","benhd-llc-paradise-valley-85253-3b0c453","","","BenHD, LLC","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","bestfit-water-scottsdale-85250-83e2be7","","","BestFit Water","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","better-business-bureau-phoenix-85014-23fbfac","","","Better Business Bureau","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","biziq-phoenix-85018-45b6038","","","BizIQ","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","black-rifle-coffee-company-phoenix-85018-015fd5d","","","Black Rifle Coffee Company","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","blue-signal-phoenix-85028-01b6ac5","","","Blue Signal","no website or booking URL | auto-merged duplicate: phone:4809393200","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","bob-allen-aflac-glendale-85383-2dc12c2","","","Bob Allen-Aflac","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","boot-barn-phoenix-85029-c456012","","","Boot Barn","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","brad-siok-state-farm-agent-peoria-85382-f50a1cf","","","Brad Siok-State Farm Agent","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","breakthrough-t1d-desert-west-chapter-phoenix-85018-83e0f8b","","","Breakthrough T1D - Desert West Chapter","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","brooks-realty-and-advisory-group-inc-scottsdale-85258-8d64afa","","","Brooks Realty & Advisory Group, Inc.","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","bugzeye-drone-mapping-and-photography-phoenix-85027-d012936","","","Bugzeye Drone Mapping and Photography","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","cantor-law-group-phoenix-85004-ba169e4","","","Cantor Law Group","no website or booking URL | auto-merged duplicate: phone:6022548880","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","capitol-consulting-llc-phoenix-85002-a0e0772","","","Capitol Consulting, LLC","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","cardinal-wholesale-cabinets-phoenix-85040-00439f7","","","Cardinal Wholesale Cabinets","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","casco-financial-group-inc-phoenix-85085-5562e66","","","CASCO Financial Group, Inc.","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","castile-roofing-phoenix-85015-49bcdd9","","","Castile Roofing","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","cec-facilities-phoenix-85040-ce6d7e5","","","CEC Facilities","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","center-for-the-future-of-arizona-arizona-state-university-phoenix-85004-3f78a13","","","Center for the Future of Arizona, Arizona State University","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","chapman-bmw-on-camelback-phoenix-85014-5867481","","","Chapman BMW on Camelback","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","choice-hospice-phoenix-85016-b7267ac","","","Choice Hospice","no website or booking URL | auto-merged duplicate: phone:6027959705","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","cintas-corporation-phoenix-85043-5ee9d83","","","Cintas Corporation","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","circle-the-city-phoenix-85013-9899dc3","","","Circle the City","no website or booking URL | auto-merged duplicate: phone:6027760776","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","cla-cliftonlarsonallen-llp-phoenix-85012-5d4cdd3","","","CLA (CliftonLarsonAllen LLP)","no website or booking URL | auto-merged duplicate: phone:6022662248","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","cmit-solutions-of-the-northeast-valley-scottsdale-85260-57a84d2","","","CMIT Solutions of the Northeast Valley","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","cms-companies-phoenix-85009-496a2eb","","","CMS Companies","no website or booking URL | auto-merged duplicate: phone:6022339633","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","coding-in-color-avondale-85323-66b60a8","","","Coding in Color","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","college-medical-center-phoenix-phoenix-85006-81c6843","","","College Medical Center Phoenix","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","comfort-systems-usa-southwest-inc-chandler-85226-f35c66c","","","Comfort Systems USA Southwest, Inc.","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","command-credit-corp-scottsdale-85254-d9accfb","","","Command Credit Corp","no website or booking URL | auto-merged duplicate: phone:8006769705","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","compass-canyon-builders-phoenix-85018-02970f7","","","Compass Canyon Builders","no website or booking URL | auto-merged duplicate: phone:6028880983","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","compass-strategies-public-affairs-phoenix-85007-aa34ffe","","","Compass Strategies Public Affairs","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","concord-general-contracting-mesa-85202-4267377","","","Concord General Contracting","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","contexture-phoenix-85012-39420ac","","","Contexture","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","copper-state-credit-union-phoenix-85015-6d2421b","","","Copper State Credit Union","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","copperpoint-mutual-insurance-co-phoenix-85012-b16e632","","","CopperPoint Mutual Insurance Co.","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","core-security-services-inc-scottsdale-85253-c690346","","","Core Security Services, Inc.","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","cox-media-arizona-phoenix-85004-2ad1c84","","","Cox Media Arizona","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
