rank,business_id,name,city,category,priority_score,product,phone,email,website,script_angle,url
"20","american-express-phoenix-legal-financial-services-accebed","American Express","Phoenix","Legal And Financial","27","verified-profile-upgrade","","","https://www.americanexpress.com","Your business is already listed; claim and clean it up before competitors do.","/business/american-express-phoenix-legal-financial-services-accebed/"
"21","arizona-state-university-tempe-education-childcare-d5b33c6","Arizona State University","Tempe","Education And Childcare","27","verified-profile-upgrade","","","https://www.asu.edu","Your business is already listed; claim and clean it up before competitors do.","/business/arizona-state-university-tempe-education-childcare-d5b33c6/"
"22","avnet-phoenix-contractor-home-service-014d78b","Avnet","Phoenix","Home Services","27","verified-profile-upgrade","","","https://www.avnet.com","Your business is already listed; claim and clean it up before competitors do.","/business/avnet-phoenix-contractor-home-service-014d78b/"
"23","banner-health-phoenix-healthcare-wellness-e134708","Banner Health","Phoenix","Health And Care","27","verified-profile-upgrade","","","https://www.bannerhealth.com","Your business is already listed; claim and clean it up before competitors do.","/business/banner-health-phoenix-healthcare-wellness-e134708/"
"24","dignity-health-phoenix-healthcare-wellness-449a910","Dignity Health","Phoenix","Health And Care","27","verified-profile-upgrade","","","https://www.dignityhealth.org","Your business is already listed; claim and clean it up before competitors do.","/business/dignity-health-phoenix-healthcare-wellness-449a910/"
"25","honeywell-aerospace-phoenix-salon-personal-care-5eb247f","Honeywell Aerospace","Phoenix","Beauty And Wellness","27","verified-profile-upgrade","","","https://www.honeywell.com","Your business is already listed; claim and clean it up before competitors do.","/business/honeywell-aerospace-phoenix-salon-personal-care-5eb247f/"
"26","phoenix-children-s-hospital-phoenix-healthcare-wellness-79b5f94","Phoenix Children’s Hospital","Phoenix","Health And Care","27","verified-profile-upgrade","","","https://www.phoenixchildrens.org","Your business is already listed; claim and clean it up before competitors do.","/business/phoenix-children-s-hospital-phoenix-healthcare-wellness-79b5f94/"
"27","republic-services-phoenix-business-professional-services-8a067e4","Republic Services","Phoenix","Business Services","27","verified-profile-upgrade","","","https://www.republicservices.com","Your business is already listed; claim and clean it up before competitors do.","/business/republic-services-phoenix-business-professional-services-8a067e4/"
"28","sprouts-farmers-market-phoenix-retail-specialty-store-10c03b9","Sprouts Farmers Market","Phoenix","Retail And Specialty","27","verified-profile-upgrade","","","https://www.sprouts.com","Your business is already listed; claim and clean it up before competitors do.","/business/sprouts-farmers-market-phoenix-retail-specialty-store-10c03b9/"
"29","usaa-phoenix-legal-financial-services-7ae1e09","USAA","Phoenix","Legal And Financial","27","verified-profile-upgrade","","","https://www.usaa.com","Your business is already listed; claim and clean it up before competitors do.","/business/usaa-phoenix-legal-financial-services-7ae1e09/"
"30","wells-fargo-phoenix-legal-financial-services-e21b245","Wells Fargo","Phoenix","Legal And Financial","27","verified-profile-upgrade","","","https://www.wellsfargo.com","Your business is already listed; claim and clean it up before competitors do.","/business/wells-fargo-phoenix-legal-financial-services-e21b245/"
"31","a-and-m-mechanical-llc-phoenix-85085-6754dbb","A & M Mechanical, LLC","Phoenix","Home Services","22","verified-profile-upgrade","(602) 405-8289","","","Your business is already listed; claim and clean it up before competitors do.","/business/a-and-m-mechanical-llc-phoenix-85085-6754dbb/"
"32","a-ready-minded-youth-foundation-phoenix-85051-0b304fa","A Ready Minded Youth Foundation","Phoenix","Health And Care","22","verified-profile-upgrade","(480) 469-4950","","","Your business is already listed; claim and clean it up before competitors do.","/business/a-ready-minded-youth-foundation-phoenix-85051-0b304fa/"
"33","a-z-air-duct-tempe-85282-5668e9d","A-Z Air Duct","Tempe","Home Services","22","verified-profile-upgrade","(602) 466-2234","","","Your business is already listed; claim and clean it up before competitors do.","/business/a-z-air-duct-tempe-85282-5668e9d/"
"34","accounting-launchpad-phoenix-85016-261fe8f","Accounting Launchpad","Phoenix","Legal And Financial","22","verified-profile-upgrade","(480) 788-3137","","","Your business is already listed; claim and clean it up before competitors do.","/business/accounting-launchpad-phoenix-85016-261fe8f/"
"35","ad-genius-phoenix-85022-6056b51","Ad Genius","Phoenix","Creative Services","22","verified-profile-upgrade","(602) 345-1272","","","Your business is already listed; claim and clean it up before competitors do.","/business/ad-genius-phoenix-85022-6056b51/"
"36","adelante-healthcare-phoenix-85012-ec0d196","Adelante Healthcare","Phoenix","Health And Care","22","verified-profile-upgrade","(623) 544-5129","","","Your business is already listed; claim and clean it up before competitors do.","/business/adelante-healthcare-phoenix-85012-ec0d196/"
"37","admiremd-skin-wellness-clinic-phoenix-85018-7d4d23c","AdmireMD Skin + Wellness Clinic","Phoenix","Health And Care","22","verified-profile-upgrade","(480) 573-0082","","","Your business is already listed; claim and clean it up before competitors do.","/business/admiremd-skin-wellness-clinic-phoenix-85018-7d4d23c/"
"38","advanced-spine-and-pain-phoenix-85037-5ad64f5","Advanced Spine & Pain","Phoenix","Health And Care","22","verified-profile-upgrade","(480) 573-0130","","","Your business is already listed; claim and clean it up before competitors do.","/business/advanced-spine-and-pain-phoenix-85037-5ad64f5/"
"39","agave-home-loans-phoenix-85044-c305701","Agave Home Loans","Phoenix","Real Estate And Property","22","verified-profile-upgrade","(602) 325-5400","","","Your business is already listed; claim and clean it up before competitors do.","/business/agave-home-loans-phoenix-85044-c305701/"
"40","ait-promotions-glendale-85304-85ee3b9","AIT Promotions","Glendale","Local Services","22","verified-profile-upgrade","(602) 978-2791","","","Your business is already listed; claim and clean it up before competitors do.","/business/ait-promotions-glendale-85304-85ee3b9/"
"41","alaskausa-federal-credit-union-phoenix-branch-phoenix-85029-cfdd65b","AlaskaUSA Federal Credit Union - Phoenix Branch","Phoenix","Legal And Financial","22","verified-profile-upgrade","(602) 338-5832","","","Your business is already listed; claim and clean it up before competitors do.","/business/alaskausa-federal-credit-union-phoenix-branch-phoenix-85029-cfdd65b/"
"42","alaskausa-federal-credit-union-tempe-branch-tempe-85282-5bc84aa","AlaskaUSA Federal Credit Union - Tempe Branch","Tempe","Legal And Financial","22","verified-profile-upgrade","(602) 338-5841","","","Your business is already listed; claim and clean it up before competitors do.","/business/alaskausa-federal-credit-union-tempe-branch-tempe-85282-5bc84aa/"
"43","all-city-towing-tempe-85281-c1a23d8","All City Towing","Tempe","Auto Services","22","verified-profile-upgrade","(480) 833-7278","","","Your business is already listed; claim and clean it up before competitors do.","/business/all-city-towing-tempe-85281-c1a23d8/"
"44","all-embracing-home-care-phoenix-85051-aa024c2","All Embracing Home Care","Phoenix","Health And Care","22","verified-profile-upgrade","(480) 744-9151","","","Your business is already listed; claim and clean it up before competitors do.","/business/all-embracing-home-care-phoenix-85051-aa024c2/"
"45","allthrive-365-formerly-fsl-phoenix-85014-446ee90","AllThrive 365 (Formerly FSL)","Phoenix","Health And Care","22","verified-profile-upgrade","(602) 285-1800","","","Your business is already listed; claim and clean it up before competitors do.","/business/allthrive-365-formerly-fsl-phoenix-85014-446ee90/"
"46","american-asphalt-paving-and-sealcoating-inc-phoenix-85007-73983ca","American Asphalt Paving & Sealcoating, Inc.","Phoenix","Real Estate And Property","22","verified-profile-upgrade","(602) 256-7376","","","Your business is already listed; claim and clean it up before competitors do.","/business/american-asphalt-paving-and-sealcoating-inc-phoenix-85007-73983ca/"
"47","amsafe-inc-phoenix-85043-0945fb1","Amsafe Inc.","Phoenix","Auto Services","22","verified-profile-upgrade","(602) 850-2850","","","Your business is already listed; claim and clean it up before competitors do.","/business/amsafe-inc-phoenix-85043-0945fb1/"
"48","anchored-solutions-residential-construction-phoenix-85018-55784de","Anchored Solutions Residential Construction","Phoenix","Home Services","22","verified-profile-upgrade","(425) 418-7477","","","Your business is already listed; claim and clean it up before competitors do.","/business/anchored-solutions-residential-construction-phoenix-85018-55784de/"
"49","archwell-health-north-mountain-phoenix-85021-3c28dea","ArchWell Health- North Mountain","Phoenix","Health And Care","22","verified-profile-upgrade","(602) 858-4361","","","Your business is already listed; claim and clean it up before competitors do.","/business/archwell-health-north-mountain-phoenix-85021-3c28dea/"
"50","arizona-association-of-health-plans-phoenix-85016-982aab3","Arizona Association of Health Plans","Phoenix","Health And Care","22","verified-profile-upgrade","(602) 680-7680","","","Your business is already listed; claim and clean it up before competitors do.","/business/arizona-association-of-health-plans-phoenix-85016-982aab3/"
"51","arizona-balloon-company-glendale-85306-d6013bf","Arizona Balloon Company","Glendale","Creative Services","22","verified-profile-upgrade","(602) 938-3550","","","Your business is already listed; claim and clean it up before competitors do.","/business/arizona-balloon-company-glendale-85306-d6013bf/"
"52","arizona-biltmore-dentistry-phoenix-85016-d406e26","Arizona Biltmore Dentistry","Phoenix","Health And Care","22","verified-profile-upgrade","(602) 957-8200","","","Your business is already listed; claim and clean it up before competitors do.","/business/arizona-biltmore-dentistry-phoenix-85016-d406e26/"
"53","arizona-bioindustry-association-azbio-chandler-85226-d7f7526","Arizona Bioindustry Association (AZBio)","Chandler","Health And Care","22","verified-profile-upgrade","(480) 779-8101","","","Your business is already listed; claim and clean it up before competitors do.","/business/arizona-bioindustry-association-azbio-chandler-85226-d7f7526/"
"54","arizona-chamber-of-commerce-and-industry-phoenix-85014-a9df964","Arizona Chamber of Commerce & Industry","Phoenix","Local Services","22","verified-profile-upgrade","(602) 248-9172","","","Your business is already listed; claim and clean it up before competitors do.","/business/arizona-chamber-of-commerce-and-industry-phoenix-85014-a9df964/"
"55","arizona-complete-health-tempe-85281-ade1efa","Arizona Complete Health","Tempe","Health And Care","22","verified-profile-upgrade","(480) 567-9083 ext. 26883","","","Your business is already listed; claim and clean it up before competitors do.","/business/arizona-complete-health-tempe-85281-ade1efa/"
"56","arizona-escrow-and-financial-corporation-phoenix-85016-dbcdef8","Arizona Escrow & Financial Corporation","Phoenix","Real Estate And Property","22","verified-profile-upgrade","(602) 956-2629","","","Your business is already listed; claim and clean it up before competitors do.","/business/arizona-escrow-and-financial-corporation-phoenix-85016-dbcdef8/"
"57","arizona-financial-credit-union-phoenix-85008-21e0e9c","Arizona Financial Credit Union","Phoenix","Legal And Financial","22","verified-profile-upgrade","(602) 683-1000","","","Your business is already listed; claim and clean it up before competitors do.","/business/arizona-financial-credit-union-phoenix-85008-21e0e9c/"
"58","arizona-hispanic-chamber-of-commerce-phoenix-85014-d845ef1","Arizona Hispanic Chamber of Commerce","Phoenix","Beauty And Wellness","22","verified-profile-upgrade","(602) 279-1800","","","Your business is already listed; claim and clean it up before competitors do.","/business/arizona-hispanic-chamber-of-commerce-phoenix-85014-d845ef1/"
"59","arizona-lobbying-llc-phoenix-85003-df60ce8","Arizona Lobbying, LLC","Phoenix","Local Services","22","verified-profile-upgrade","(602) 252-5222","","","Your business is already listed; claim and clean it up before competitors do.","/business/arizona-lobbying-llc-phoenix-85003-df60ce8/"
"60","arizona-municipal-water-users-association-phoenix-85012-d2b2385","Arizona Municipal Water Users Association","Phoenix","Local Services","22","verified-profile-upgrade","(602) 248-8482","","","Your business is already listed; claim and clean it up before competitors do.","/business/arizona-municipal-water-users-association-phoenix-85012-d2b2385/"
"61","arizona-private-school-association-scottsdale-85260-6216236","Arizona Private School Association","Scottsdale","Education And Childcare","22","verified-profile-upgrade","(602) 254-5199","","","Your business is already listed; claim and clean it up before competitors do.","/business/arizona-private-school-association-scottsdale-85260-6216236/"
"62","arizona-self-insurers-association-scottsdale-85251-5c4395d","Arizona Self-Insurers Association","Scottsdale","Legal And Financial","22","verified-profile-upgrade","(480) 706-5762","","","Your business is already listed; claim and clean it up before competitors do.","/business/arizona-self-insurers-association-scottsdale-85251-5c4395d/"
"63","arizona-small-business-association-phoenix-85028-f947b29","Arizona Small Business Association","Phoenix","Local Services","22","verified-profile-upgrade","(602) 306-4000","","","Your business is already listed; claim and clean it up before competitors do.","/business/arizona-small-business-association-phoenix-85028-f947b29/"
"64","arizona-tooling-and-machining-association-scottsdale-85271-7da3a46","Arizona Tooling & Machining Association","Scottsdale","Local Services","22","verified-profile-upgrade","(602) 510-7219","","","Your business is already listed; claim and clean it up before competitors do.","/business/arizona-tooling-and-machining-association-scottsdale-85271-7da3a46/"
"65","arnold-insurance-phoenix-85028-ce5aba2","Arnold Insurance","Phoenix","Legal And Financial","22","verified-profile-upgrade","(602) 317-8807","","","Your business is already listed; claim and clean it up before competitors do.","/business/arnold-insurance-phoenix-85028-ce5aba2/"
"66","ashley-karn-the-karn-group-at-barrett-real-estate-scottsdale-85260-488dc57","Ashley Karn, The Karn Group at Barrett Real Estate","Scottsdale","Real Estate And Property","22","verified-profile-upgrade","(480) 433-9405","","","Your business is already listed; claim and clean it up before competitors do.","/business/ashley-karn-the-karn-group-at-barrett-real-estate-scottsdale-85260-488dc57/"
"67","athletic-republic-north-phoenix-phoenix-85050-33fb776","Athletic Republic North Phoenix","Phoenix","Beauty And Wellness","22","verified-profile-upgrade","(614) 735-0227","","","Your business is already listed; claim and clean it up before competitors do.","/business/athletic-republic-north-phoenix-phoenix-85050-33fb776/"
"68","atlas-capital-llc-paradise-valley-85253-5876a84","Atlas Capital, LLC","Paradise Valley","Legal And Financial","22","verified-profile-upgrade","(480) 499-4444","","","Your business is already listed; claim and clean it up before competitors do.","/business/atlas-capital-llc-paradise-valley-85253-5876a84/"
"69","atlas-residential-llc-paradise-valley-85253-f932414","Atlas Residential, LLC","Paradise Valley","Real Estate And Property","22","verified-profile-upgrade","(602) 903-7286","","","Your business is already listed; claim and clean it up before competitors do.","/business/atlas-residential-llc-paradise-valley-85253-f932414/"
"70","ave-phoenix-terra-phoenix-85003-c617df6","AVE Phoenix Terra","Phoenix","Real Estate And Property","22","verified-profile-upgrade","(602) 836-4680","","","Your business is already listed; claim and clean it up before competitors do.","/business/ave-phoenix-terra-phoenix-85003-c617df6/"
"71","az-policy-connect-scottsdale-85258-c34fd08","AZ Policy Connect","Scottsdale","Creative Services","22","verified-profile-upgrade","(602) 428-6644","","","Your business is already listed; claim and clean it up before competitors do.","/business/az-policy-connect-scottsdale-85258-c34fd08/"
"72","az-pressure-wash-and-windows-scottsdale-85254-0ae8431","Az Pressure Wash and Windows","Scottsdale","Auto Services","22","verified-profile-upgrade","(480) 658-3605","","","Your business is already listed; claim and clean it up before competitors do.","/business/az-pressure-wash-and-windows-scottsdale-85254-0ae8431/"
"73","b3-strategies-llc-phoenix-85006-d05362a","B3 Strategies, LLC","Phoenix","Creative Services","22","verified-profile-upgrade","(602) 687-9017","","","Your business is already listed; claim and clean it up before competitors do.","/business/b3-strategies-llc-phoenix-85006-d05362a/"
"74","backyard-desert-ridge-phoenix-85050-cbf70eb","Backyard Desert Ridge","Phoenix","Food And Events","22","verified-profile-upgrade","(480) 585-5900","","","Your business is already listed; claim and clean it up before competitors do.","/business/backyard-desert-ridge-phoenix-85050-cbf70eb/"
"75","banner-university-medical-center-phoenix-85006-4f6050b","Banner University Medical Center","Phoenix","Health And Care","22","verified-profile-upgrade","(602) 839-2000","","","Your business is already listed; claim and clean it up before competitors do.","/business/banner-university-medical-center-phoenix-85006-4f6050b/"
"76","barr-associates-llc-damien-barr-allstate-agency-scottsdale-85258-927e7ca","Barr Associates LLC (Damien Barr Allstate Agency)","Scottsdale","Legal And Financial","22","verified-profile-upgrade","(480) 922-8820","","","Your business is already listed; claim and clean it up before competitors do.","/business/barr-associates-llc-damien-barr-allstate-agency-scottsdale-85258-927e7ca/"
"77","bay-logistics-inc-phoenix-85004-2460fd9","Bay Logistics Inc.","Phoenix","Business Services","22","verified-profile-upgrade","(616) 432-5499","","","Your business is already listed; claim and clean it up before competitors do.","/business/bay-logistics-inc-phoenix-85004-2460fd9/"
"78","benchmark-tempe-85281-3a6afc2","Benchmark","Tempe","Local Services","22","verified-profile-upgrade","(623) 300-7000","","","Your business is already listed; claim and clean it up before competitors do.","/business/benchmark-tempe-85281-3a6afc2/"
"79","benhd-llc-paradise-valley-85253-3b0c453","BenHD, LLC","Paradise Valley","Creative Services","22","verified-profile-upgrade","(480) 221-3377","","","Your business is already listed; claim and clean it up before competitors do.","/business/benhd-llc-paradise-valley-85253-3b0c453/"
"80","bestfit-water-scottsdale-85250-83e2be7","BestFit Water","Scottsdale","Local Services","22","verified-profile-upgrade","(480) 213-8736","","","Your business is already listed; claim and clean it up before competitors do.","/business/bestfit-water-scottsdale-85250-83e2be7/"
"81","better-business-bureau-phoenix-85014-23fbfac","Better Business Bureau","Phoenix","Local Services","22","verified-profile-upgrade","(602) 264-1721","","","Your business is already listed; claim and clean it up before competitors do.","/business/better-business-bureau-phoenix-85014-23fbfac/"
"82","biziq-phoenix-85018-45b6038","BizIQ","Phoenix","Creative Services","22","verified-profile-upgrade","(480) 685-9433","","","Your business is already listed; claim and clean it up before competitors do.","/business/biziq-phoenix-85018-45b6038/"
"83","black-rifle-coffee-company-phoenix-85018-015fd5d","Black Rifle Coffee Company","Phoenix","Food And Events","22","verified-profile-upgrade","(210) 891-0385","","","Your business is already listed; claim and clean it up before competitors do.","/business/black-rifle-coffee-company-phoenix-85018-015fd5d/"
"84","bob-allen-aflac-glendale-85383-2dc12c2","Bob Allen-Aflac","Glendale","Legal And Financial","22","verified-profile-upgrade","(219) 776-5449","","","Your business is already listed; claim and clean it up before competitors do.","/business/bob-allen-aflac-glendale-85383-2dc12c2/"
"85","boot-barn-phoenix-85029-c456012","Boot Barn","Phoenix","Retail And Specialty","22","verified-profile-upgrade","(602) 878-5590","","","Your business is already listed; claim and clean it up before competitors do.","/business/boot-barn-phoenix-85029-c456012/"
"86","brad-siok-state-farm-agent-peoria-85382-f50a1cf","Brad Siok-State Farm Agent","Peoria","Legal And Financial","22","verified-profile-upgrade","(623) 566-6405","","","Your business is already listed; claim and clean it up before competitors do.","/business/brad-siok-state-farm-agent-peoria-85382-f50a1cf/"
"87","breakthrough-t1d-desert-west-chapter-phoenix-85018-83e0f8b","Breakthrough T1D - Desert West Chapter","Phoenix","Health And Care","22","verified-profile-upgrade","(602) 224-1800","","","Your business is already listed; claim and clean it up before competitors do.","/business/breakthrough-t1d-desert-west-chapter-phoenix-85018-83e0f8b/"
"88","brooks-realty-and-advisory-group-inc-scottsdale-85258-8d64afa","Brooks Realty & Advisory Group, Inc.","Scottsdale","Real Estate And Property","22","verified-profile-upgrade","(602) 264-1565","","","Your business is already listed; claim and clean it up before competitors do.","/business/brooks-realty-and-advisory-group-inc-scottsdale-85258-8d64afa/"
"89","bugzeye-drone-mapping-and-photography-phoenix-85027-d012936","Bugzeye Drone Mapping and Photography","Phoenix","Creative Services","22","verified-profile-upgrade","(480) 953-0626","","","Your business is already listed; claim and clean it up before competitors do.","/business/bugzeye-drone-mapping-and-photography-phoenix-85027-d012936/"
"90","capitol-consulting-llc-phoenix-85002-a0e0772","Capitol Consulting, LLC","Phoenix","Business Services","22","verified-profile-upgrade","(602) 712-1121","","","Your business is already listed; claim and clean it up before competitors do.","/business/capitol-consulting-llc-phoenix-85002-a0e0772/"
"91","cardinal-wholesale-cabinets-phoenix-85040-00439f7","Cardinal Wholesale Cabinets","Phoenix","Home Services","22","verified-profile-upgrade","(602) 296-5648","","","Your business is already listed; claim and clean it up before competitors do.","/business/cardinal-wholesale-cabinets-phoenix-85040-00439f7/"
"92","casco-financial-group-inc-phoenix-85085-5562e66","CASCO Financial Group, Inc.","Phoenix","Legal And Financial","22","verified-profile-upgrade","(602) 995-1484","","","Your business is already listed; claim and clean it up before competitors do.","/business/casco-financial-group-inc-phoenix-85085-5562e66/"
"93","castile-roofing-phoenix-85015-49bcdd9","Castile Roofing","Phoenix","Home Services","22","verified-profile-upgrade","(602) 687-7282","","","Your business is already listed; claim and clean it up before competitors do.","/business/castile-roofing-phoenix-85015-49bcdd9/"
"94","cec-facilities-phoenix-85040-ce6d7e5","CEC Facilities","Phoenix","Real Estate And Property","22","verified-profile-upgrade","(817) 734-0040","","","Your business is already listed; claim and clean it up before competitors do.","/business/cec-facilities-phoenix-85040-ce6d7e5/"
"95","center-for-the-future-of-arizona-arizona-state-university-phoenix-85004-3f78a13","Center for the Future of Arizona, Arizona State University","Phoenix","Education And Childcare","22","verified-profile-upgrade","(602) 496-1360","","","Your business is already listed; claim and clean it up before competitors do.","/business/center-for-the-future-of-arizona-arizona-state-university-phoenix-85004-3f78a13/"
"96","chapman-bmw-on-camelback-phoenix-85014-5867481","Chapman BMW on Camelback","Phoenix","Auto Services","22","verified-profile-upgrade","(602) 308-4269","","","Your business is already listed; claim and clean it up before competitors do.","/business/chapman-bmw-on-camelback-phoenix-85014-5867481/"
"97","cintas-corporation-phoenix-85043-5ee9d83","Cintas Corporation","Phoenix","Retail And Specialty","22","verified-profile-upgrade","(480) 528-5329","","","Your business is already listed; claim and clean it up before competitors do.","/business/cintas-corporation-phoenix-85043-5ee9d83/"
"98","cmit-solutions-of-the-northeast-valley-scottsdale-85260-57a84d2","CMIT Solutions of the Northeast Valley","Scottsdale","Local Services","22","verified-profile-upgrade","(480) 419-3931","","","Your business is already listed; claim and clean it up before competitors do.","/business/cmit-solutions-of-the-northeast-valley-scottsdale-85260-57a84d2/"
"99","coding-in-color-avondale-85323-66b60a8","Coding in Color","Avondale","Business Services","22","verified-profile-upgrade","(602) 516-8317","","","Your business is already listed; claim and clean it up before competitors do.","/business/coding-in-color-avondale-85323-66b60a8/"
"100","college-medical-center-phoenix-phoenix-85006-81c6843","College Medical Center Phoenix","Phoenix","Health And Care","22","verified-profile-upgrade","(602) 251-8535","","","Your business is already listed; claim and clean it up before competitors do.","/business/college-medical-center-phoenix-phoenix-85006-81c6843/"
"101","comfort-systems-usa-southwest-inc-chandler-85226-f35c66c","Comfort Systems USA Southwest, Inc.","Chandler","Home Services","22","verified-profile-upgrade","(480) 940-8400","","","Your business is already listed; claim and clean it up before competitors do.","/business/comfort-systems-usa-southwest-inc-chandler-85226-f35c66c/"
"102","compass-strategies-public-affairs-phoenix-85007-aa34ffe","Compass Strategies Public Affairs","Phoenix","Local Services","22","verified-profile-upgrade","(602) 263-0086","","","Your business is already listed; claim and clean it up before competitors do.","/business/compass-strategies-public-affairs-phoenix-85007-aa34ffe/"
"103","concord-general-contracting-mesa-85202-4267377","Concord General Contracting","Mesa","Real Estate And Property","22","verified-profile-upgrade","(480) 962-8080","","","Your business is already listed; claim and clean it up before competitors do.","/business/concord-general-contracting-mesa-85202-4267377/"
"104","contexture-phoenix-85012-39420ac","Contexture","Phoenix","Health And Care","22","verified-profile-upgrade","(844) 279-7120","","","Your business is already listed; claim and clean it up before competitors do.","/business/contexture-phoenix-85012-39420ac/"
"105","copper-state-credit-union-phoenix-85015-6d2421b","Copper State Credit Union","Phoenix","Legal And Financial","22","verified-profile-upgrade","(602) 491-0891","","","Your business is already listed; claim and clean it up before competitors do.","/business/copper-state-credit-union-phoenix-85015-6d2421b/"
"106","copperpoint-mutual-insurance-co-phoenix-85012-b16e632","CopperPoint Mutual Insurance Co.","Phoenix","Legal And Financial","22","verified-profile-upgrade","(602) 631-2212","","","Your business is already listed; claim and clean it up before competitors do.","/business/copperpoint-mutual-insurance-co-phoenix-85012-b16e632/"
"107","core-security-services-inc-scottsdale-85253-c690346","Core Security Services, Inc.","Scottsdale","Business Services","22","verified-profile-upgrade","(844) 250-2073","","","Your business is already listed; claim and clean it up before competitors do.","/business/core-security-services-inc-scottsdale-85253-c690346/"
"108","cox-media-arizona-phoenix-85004-2ad1c84","Cox Media Arizona","Phoenix","Creative Services","22","verified-profile-upgrade","(623) 328-1800","","","Your business is already listed; claim and clean it up before competitors do.","/business/cox-media-arizona-phoenix-85004-2ad1c84/"
